Band: [16948Hz - 17095Hz]	 Volume: 94998545401
Band: [17095Hz - 17242Hz]	 Volume: 0
Band: [17242Hz - 17389Hz]	 Volume: 0
Band: [17389Hz - 17536Hz]	 Volume: 32166135821
Band: [17536Hz - 17683Hz]	 Volume: 15892067325
Band: [17684Hz - 17831Hz]	 Volume: 670774864
Band: [17831Hz - 17978Hz]	 Volume: 5097260354
Band: [17978Hz - 18125Hz]	 Volume: 92712651339
Band: [18125Hz - 18272Hz]	 Volume: 0
Band: [18272Hz - 18419Hz]	 Volume: 0
Band: [18420Hz - 18567Hz]	 Volume: 0
Band: [18567Hz - 18714Hz]	 Volume: 32791897223
Band: [18714Hz - 18861Hz]	 Volume: 0
Band: [18861Hz - 19008Hz]	 Volume: 0
Band: [19008Hz - 19155Hz]	 Volume: 13257518116
Band: [19156Hz - 19303Hz]	 Volume: 0
Band: [19303Hz - 19450Hz]	 Volume: 0
Band: [19450Hz - 19597Hz]	 Volume: 0
Band: [19597Hz - 19744Hz]	 Volume: 57777969841
Band: [19744Hz - 19891Hz]	 Volume: 2620509726
Band: [19892Hz - 19999Hz]	 Volume: 3168537979
